Styrk code;Styrk description;Category level 1;Category level 2
7113;Steinhoggere;Håndverkere;Øvrige håndverksyrker
7114;Betongarbeidere;Håndverkere;Betongfagarbeider
7115;Tømrere og snekkere;Håndverkere;Tømrer og snekker
7119;Andre bygningsarbeidere;Håndverkere;Øvrige håndverksyrker
7121;Taktekkere;Håndverkere;Øvrige håndverksyrker
7122;Gulv- og flisleggere;Håndverkere;Murer
7123;Gips- og sparklingsarbeidere;Håndverkere;Maler
7124;Isolatører mv.;Håndverkere;Øvrige håndverksyrker
7125;Glassarbeidere;Håndverkere;Øvrige håndverksyrker
7126;Rørleggere og VVS-montører;Håndverkere;Rørlegger
7127;Kuldemontører mv.;Håndverkere;Rørlegger
7131;Malere og byggtapetserere;Håndverkere;Maler
7132;Overflatebehandlere og lakkerere;Håndverkere;Maler
7133;Feiere, fasaderenholdere mv.;Håndverkere;Feier
7211;Støpere;Håndverkere;Øvrige håndverksyrker
7212;Sveisere;Håndverkere;Platearbeider og sveiser
7213;Kopper- og blikkenslagere;Håndverkere;Øvrige håndverksyrker
7214;Platearbeidere;Håndverkere;Platearbeider og sveiser
7215;Riggere og spleisere;Håndverkere;Øvrige håndverksyrker
7221;Smeder;Industri og produksjon;Jern og metall
7222;Verktøymakere, låsesmeder mv.;Håndverkere;Øvrige håndverksyrker
7223;Metalldreiere mv.;Industri og produksjon;Maskinteknikk og mekanikk
7224;Metallslipere;Industri og produksjon;Maskinteknikk og mekanikk
7231;Bilmekanikere;Håndverkere;Mekaniker
7232;Mekanikere innen flytekniske fag;Håndverkere;Mekaniker
7233;Anleggsmaskin- og industrimekanikere;Industri og produksjon;Maskinteknikk og mekanikk
7234;Sykkelreparatører mv.;Håndverkere;Mekaniker
7311;Presisjonsinstrumentmakere og -reparatører;Håndverkere;Øvrige håndverksyrker
7312;Musikkinstrumentmakere og -stemmere;Håndverkere;Øvrige håndverksyrker
7313;Gull- og sølvsmeder, gravører mv.;Håndverkere;Øvrige håndverksyrker
7314;Keramikere mv.;Kultur og kreative yrker;Kunst  og kunsthåndverk
7315;Glasshåndverkere;Kultur og kreative yrker;Kunst  og kunsthåndverk
7316;Dekormalere mv;Kultur og kreative yrker;Kunst  og kunsthåndverk
7317;Kunsthåndverkere i tre mv.;Kultur og kreative yrker;Kunst  og kunsthåndverk
7318;Vevere, strikkere mv. (innen husflidsproduksjon);Kultur og kreative yrker;Kunst  og kunsthåndverk
7319;Andre kunsthåndverkere;Kultur og kreative yrker;Kunst  og kunsthåndverk
7321;Førtrykkere;Kultur og kreative yrker;Design, grafisk arbeid og illustrasjon
7322;Trykkere;Kultur og kreative yrker;Design, grafisk arbeid og illustrasjon
7323;Innbindere mv.;Kultur og kreative yrker;Design, grafisk arbeid og illustrasjon
7411;Elektrikere;Håndverkere;Elektriker/elektro
7412;Automatikere;Håndverkere;Elektriker/elektro
7413;Energimontører;Håndverkere;Elektriker/elektro
7421;Serviceelektronikere;Håndverkere;Elektriker/elektro
7422;Tele- og IKT-installatører;Håndverkere;Elektriker/elektro
7511;Slaktere, fiskehandlere mv;Industri og produksjon;Matproduksjon og næringsmiddelarbeid
7512;Bakere, konditorer mv.;Reiseliv og mat;Baker og konditor
7513;Ystere mv. (gårdsproduksjon);Industri og produksjon;Matproduksjon og næringsmiddelarbeid
7514;Syltere, saftere mv. (gårdsproduksjon);Industri og produksjon;Matproduksjon og næringsmiddelarbeid
7515;Prøvesmakere og kvalitetsbedømmere av mat og drikke;Industri og produksjon;Matproduksjon og næringsmiddelarbeid
7522;Møbelsnekkere;Industri og produksjon;Trevarearbeid og –foredling
7531;Skreddere, buntmakere mv.;Håndverkere;Skredder
7532;Gradører;Industri og produksjon;Tekstil og presisjonsarbeid
7534;Møbeltapetserere mv.;Industri og produksjon;Tekstil og presisjonsarbeid
